'equipo';'jugador';'Paradas';'Partidos jugados';'Faltas recibidas';'Penaltis recibidos';'Doble tarjeta amarilla';'Asistencias';'Partidos como titular';'Minutos';'Penaltis parados';'Tarjetas rojas';'Goles';'Penaltis';'Faltas';'Rechaces';'Tarjetas amarillas';'Disparos';'Sustituciones';
'Athletic Club';'Unai Simon';'17';'25';'1';'3';'0';'';'25';'2250';'0';'0';'';'';'';'60';'2';'';'0';
'Athletic Club';'Jokin Ezkieta';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'0';'';'0';
'Athletic Club';'Agirrezabala';'1';'4';'0';'0';'0';'';'4';'360';'0';'0';'';'';'';'15';'0';'';'0';
'Athletic Club';'Iru';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'0';'';'0';
'Athletic Club';'Petxarroman';'';'10';'';'';'0';'0';'0';'116';'';'0';'0';'0';'4';'';'2';'0';'0';
'Athletic Club';'Nuñez';'';'8';'';'';'0';'0';'6';'530';'';'0';'0';'0';'8';'';'1';'6';'1';
'Athletic Club';'I. Martinez';'';'21';'';'';'1';'0';'20';'1803';'';'2';'3';'0';'25';'';'6';'17';'1';
'Athletic Club';'Yeray';'';'16';'';'';'0';'0';'16';'1395';'';'0';'0';'0';'18';'';'5';'2';'1';
'Athletic Club';'Vivian';'';'17';'';'';'0';'1';'16';'1443';'';'0';'2';'0';'9';'';'0';'11';'1';
'Athletic Club';'I. Lekue';'';'23';'';'';'0';'2';'21';'1852';'';'0';'0';'0';'17';'';'3';'2';'3';
'Athletic Club';'Yuri B.';'';'6';'';'';'0';'1';'4';'378';'';'0';'1';'0';'3';'';'2';'3';'2';
'Athletic Club';'De Marcos';'';'15';'';'';'0';'2';'12';'1138';'';'0';'1';'0';'19';'';'4';'2';'5';
'Athletic Club';'Capa';'';'0';'';'';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'0';'0';'0';
'Athletic Club';'Balenziaga';'';'23';'';'';'0';'0';'21';'1844';'';'0';'0';'0';'18';'';'2';'5';'4';
'Athletic Club';'Paredes';'';'0';'';'';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'0';'0';'0';
'Athletic Club';'Vesga';'';'24';'';'';'0';'0';'10';'905';'';'0';'1';'0';'22';'';'2';'8';'7';
'Athletic Club';'O. Sancet';'';'24';'';'';'0';'4';'14';'1290';'';'0';'6';'0';'18';'';'1';'22';'14';
'Athletic Club';'Dani García';'';'25';'';'';'0';'0';'22';'1818';'';'0';'0';'0';'34';'';'7';'8';'16';
'Athletic Club';'Vencedor';'';'25';'';'';'0';'0';'23';'1850';'';'0';'0';'0';'24';'';'3';'7';'12';
'Athletic Club';'Zarraga';'';'22';'';'';'0';'0';'8';'952';'';'0';'1';'1';'12';'';'5';'13';'5';
'Athletic Club';'Raul Garcia';'';'26';'';'';'0';'1';'18';'1391';'';'0';'4';'0';'35';'';'2';'25';'17';
'Athletic Club';'Berenguer';'';'26';'';'';'0';'6';'19';'1656';'';'0';'1';'0';'39';'';'7';'28';'10';
'Athletic Club';'Williams';'';'29';'';'';'0';'3';'24';'2110';'';'0';'7';'0';'17';'';'2';'47';'10';
'Athletic Club';'Muniain';'';'26';'';'';'0';'7';'25';'2023';'';'0';'3';'1';'9';'';'2';'24';'17';
'Athletic Club';'Villalibre';'';'13';'';'';'0';'0';'2';'334';'';'0';'0';'0';'8';'';'0';'7';'2';
'Athletic Club';'Williams Jr';'';'26';'';'';'0';'0';'6';'931';'';'0';'0';'0';'21';'';'4';'13';'5';
'Athletic Club';'Nico Serrano';'';'12';'';'';'0';'0';'3';'286';'';'0';'1';'0';'7';'';'0';'6';'2';
'Athletic Club';'Artola';'';'0';'';'';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'0';'0';'0';
'Athletic Club';'Luis Bilbao';'';'0';'';'';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'0';'0';'0';
'Atlético de Madrid';'Lecomte';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'1';'';'0';
'Atlético de Madrid';'Oblak';'19';'29';'7';'6';'0';'';'29';'2610';'1';'0';'';'';'';'44';'1';'';'0';
'Atlético de Madrid';'Christian';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'0';'';'0';
'Atlético de Madrid';'A.iturbe';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'0';'';'0';
'Atlético de Madrid';'A.gomis';'0';'0';'0';'0';'0';'';'0';'0';'0';'0';'';'';'';'0';'0';'';'0';
'Atlético de Madrid';'J. M. Giménez';'';'19';'';'';'0';'1';'19';'1600';'';'0';'0';'0';'7';'';'8';'14';'4';
'Atlético de Madrid';'Renan Lodi';'';'22';'';'';'0';'1';'10';'857';'';'0';'2';'0';'13';'';'3';'9';'8';
'Atlético de Madrid';'Savić';'';'20';'';'';'0';'0';'20';'1720';'';'0';'0';'0';'18';'';'7';'10';'1';
'Atlético de Madrid';'Felipe';'';'19';'';'';'0';'1';'12';'1200';'';'1';'2';'0';'16';'';'4';'9';'0';
'Atlético de Madrid';'M. Hermoso';'';'24';'';'';'0';'1';'19';'1688';'';'1';'2';'0';'23';'';'4';'12';'7';
